player,player_id,position,team_name,player_game_count,assists,franchise_id,hits,hurries,lhs_assists,lhs_hits,lhs_hurries,lhs_misses,lhs_pass_rush_percent,lhs_pass_rush_snaps,lhs_pressures,lhs_prp,lhs_sacks,lhs_stops,lhs_tackles,misses,pass_rush_percent,pass_rush_snaps,pass_snaps,pressures,prp,rhs_assists,rhs_hits,rhs_hurries,rhs_misses,rhs_pass_rush_percent,rhs_pass_rush_snaps,rhs_pressures,rhs_prp,rhs_sacks,rhs_stops,rhs_tackles,sacks,stops,tackles
Earnest Brown IV,56428,DI,DAL,2,0,9,0,0,0,0,0,0,83.3,5,0,0,0,0,0,0,100,6,6,0,0,0,0,0,0,16.7,1,0,0,0,0,0,0,0,0
Percy Butler,83271,S,WAS,20,0,32,0,0,0,0,0,0,66.7,2,0,0,0,0,0,0,1.7,4,241,0,0,0,0,0,0,33.3,1,0,0,0,0,0,0,0,0
Alohi Gilman,41662,S,LAC,12,0,27,0,0,0,0,0,0,50,1,0,0,0,0,0,0,0.4,2,451,0,0,0,0,0,0,50,1,0,0,0,0,0,0,0,0
Keidron Smith,83310,S,DEN,2,0,10,0,0,0,0,0,0,100,1,0,0,0,0,0,0,14.3,1,7,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Andre Jones Jr.,56395,ED,WAS,2,0,32,0,0,0,0,0,0,100,7,0,0,0,0,0,0,87.5,7,8,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Charlie Woerner,42257,TE,ATL,1,0,2,0,0,0,0,0,0,,0,0,,0,0,0,0,100,1,1,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0
Nathaniel Watson,81317,LB,CLV,4,0,8,0,0,0,0,0,0,50,1,0,0,0,0,0,0,11.1,2,18,0,0,0,0,0,0,50,1,0,0,0,0,0,0,0,0
Devon Key,56307,S,DEN,14,0,10,0,0,0,0,0,0,0,0,0,,0,0,0,0,2,3,147,0,0,0,0,0,0,100,3,0,0,0,0,0,0,0,0
Kwon Alexander,9557,LB,DET,5,0,11,0,0,0,0,0,0,50,1,0,0,0,0,0,0,6.7,2,30,0,0,0,0,0,0,50,1,0,0,0,0,0,0,0,0
Tyler Allgeier,83639,HB,ATL,2,0,2,0,0,0,0,0,0,,0,0,,0,0,0,0,50,1,2,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0
Chris Rodriguez Jr.,83689,HB,WAS,1,0,32,0,0,0,0,0,0,,0,0,,0,0,0,0,100,1,1,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0
Mack Hollins,11873,WR,BUF,2,0,4,0,0,0,0,0,0,,0,0,,0,0,0,0,50,1,2,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0
Jamel Dean,34918,CB,TB,13,0,30,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.4,2,484,0,0,0,0,0,0,100,2,0,0,0,0,0,0,0,0
Talanoa Hufanga,83903,S,SF,7,0,28,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.6,1,163,0,0,0,0,0,0,100,1,0,0,0,0,0,0,0,0
Lucas Krull,83962,TE,DEN,1,0,10,0,0,0,0,0,0,,0,0,,0,0,0,0,100,1,1,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0
Teagan Quitoriano,84036,TE,HST,1,0,13,0,0,0,0,0,0,,0,0,,0,0,0,0,100,1,1,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0
Josh Newton,84268,CB,CIN,14,0,7,0,0,0,0,0,0,100,2,0,0,0,0,0,0,0.6,2,320,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Elijah Molden,56290,S,LAC,15,0,27,0,0,0,0,0,0,50,1,0,0,0,0,0,0,0.4,2,468,0,0,0,0,0,0,50,1,0,0,0,0,0,0,0,0
Kevin King,11788,CB,ATL,13,0,2,0,0,0,0,0,0,0,0,0,,0,0,0,0,1.6,1,64,0,0,0,0,0,0,100,1,0,0,0,0,0,0,0,0
Nate Adkins,87625,TE,DEN,2,0,10,0,0,0,0,0,0,,0,0,,0,0,0,0,50,1,2,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0
Titus Leo,87743,ED,NE,1,0,19,0,0,0,0,0,0,50,2,0,0,0,0,0,0,100,4,4,0,0,0,0,0,0,50,2,0,0,0,0,0,0,0,0
Cam Jones,81244,LB,KC,2,0,16,0,0,0,0,0,0,0,0,0,,0,0,0,0,5.4,2,37,0,0,0,0,0,0,100,2,0,0,0,0,0,0,0,0
Bobby McCain,9578,S,MIN,2,0,18,0,0,0,0,0,0,33.3,1,0,0,0,0,0,0,10.3,3,29,0,0,0,0,0,0,66.7,2,0,0,0,0,0,0,0,0
Nephi Sewell,56107,LB,NO,1,0,20,0,0,0,0,0,0,25,1,0,0,0,0,0,0,12.5,4,32,0,0,0,0,0,0,75,3,0,0,0,0,0,0,0,0
Brodric Martin,91288,DI,DET,2,0,11,0,0,0,0,0,0,28.6,2,0,0,0,0,0,0,92.3,12,13,0,0,0,0,0,0,71.4,5,0,0,0,0,0,0,0,0
Zayne Anderson,34622,S,GB,5,0,12,0,0,0,0,0,0,100,1,0,0,0,0,0,0,1.4,1,74,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Darnell Savage,34247,S,JAX,13,0,15,0,0,0,0,0,0,60,3,0,0,0,0,0,0,1.2,5,427,0,0,0,0,0,0,40,2,0,0,0,0,0,0,0,0
Anthony Pittman,94372,LB,DET,2,0,11,0,0,0,0,0,0,100,4,0,0,0,0,0,0,40,4,10,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Bryan Cook,55940,S,KC,20,0,16,0,0,0,0,0,0,50,1,0,0,0,0,0,0,0.3,2,668,0,0,0,0,0,0,50,1,0,0,0,0,0,0,0,0
Mike Sainristil,97180,CB,WAS,20,0,32,0,0,0,0,0,0,60,3,0,0,0,0,0,0,0.8,5,642,0,0,0,0,0,0,40,2,0,0,0,0,0,0,0,0
Reddy Steward,97289,CB,CHI,1,0,6,0,0,0,0,0,0,0,0,0,,0,0,0,0,9.1,1,11,0,0,0,0,0,0,100,1,0,0,0,0,0,0,0,0
Grant Stuard,55933,LB,IND,9,0,14,0,0,0,0,0,0,42.9,3,0,0,0,0,0,0,7.1,7,98,0,0,0,0,0,0,57.1,4,0,0,0,0,0,0,0,0
Thomas Harper,97325,S,LV,13,0,23,0,0,0,0,0,0,66.7,2,0,0,0,0,0,0,2.3,3,133,0,0,0,0,0,0,33.3,1,0,0,0,0,0,0,0,0
Kendall Sheffield,34105,CB,NYJ,3,0,22,0,0,0,0,0,0,100,1,0,0,0,0,0,0,1.7,1,58,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Dadrion Taylor-Demerson,97348,S,ARZ,14,0,1,0,0,0,0,0,0,33.3,3,0,0,0,0,0,0,5.5,9,164,0,0,0,0,0,0,66.7,6,0,0,0,0,1,0,0,1
Michael Burton,9601,FB,DEN,2,0,10,0,0,0,0,0,0,,0,0,,0,0,0,0,100,2,2,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0
Ryan Neal,49132,S,TB,2,0,30,0,0,0,0,0,0,100,1,0,0,0,0,0,0,8.3,1,12,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Dax Hill,97519,CB,CIN,5,0,7,0,0,0,0,0,0,50,1,0,0,0,0,0,0,1.5,2,135,0,0,0,0,0,0,50,1,0,0,0,0,0,0,0,0
Drake Thomas,97525,LB,SEA,4,0,29,0,0,0,0,0,0,50,1,0,0,0,0,0,0,10,2,20,0,0,0,0,0,0,50,1,0,0,0,0,0,0,0,0
Kendall Fuller,10718,CB,MIA,11,0,17,0,0,0,0,0,0,66.7,2,0,0,0,0,0,0,0.9,3,321,0,0,0,0,0,0,33.3,1,0,0,0,0,0,0,0,0
Josh Wallace,97676,CB,LA,13,0,26,0,0,0,0,0,0,80,4,0,0,0,0,0,0,5.7,5,88,0,0,0,0,0,0,20,1,0,0,0,0,0,0,0,0
Derrick Brown,43883,DI,CAR,1,1,5,0,0,1,0,0,0,100,22,0,0,0,0,0,0,95.7,22,23,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Chase Brown,77787,HB,CIN,1,0,7,0,0,0,0,0,0,,0,0,,0,0,0,0,100,1,1,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0
Darious Williams,55724,CB,LA,14,0,26,0,0,0,0,0,0,100,1,0,0,0,0,0,0,0.2,1,511,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Abdullah Anderson,32708,DI,TEN,4,0,31,0,0,0,0,0,0,62.5,10,0,0,0,0,0,0,100,17,17,0,0,0,0,0,0,37.5,6,0,0,0,0,0,0,0,0
